# Orbital parameters
# Apo    : Apocenter of the orbit
# Peri   : Pericenter of the orbit
# rE     : Guiding radius
# Ecc    : Eccentricity of the orbit 
# Max_Z  : Maximum vertical height
# Energy : Total energy
# Tr     : Radial period
# Tp     : Azimuthal period
# Tz     : Vertical period
# Lz     : Z-component of the angular momentum
# L      : Angular momentum
# Jacobi : Jacobi integral 
#
#
             NAME    Apo Apo_std   Peri Peri_std     rE rE_std   Ecc Ecc_std Max_Z Max_z_std     Energy Energy_std    Tr Tr_std    Tp Tp_std    Tz Tz_std       Lz  Lz_std        L    L_std      Jacobi Jacobi_std
       czernik_27 12.714   0.225 10.246    0.178 11.504   0.17 0.108   0.009 0.567     0.054 -34462.235    694.717  0.23  0.004 0.306  0.005 0.151  0.006 2620.692  33.195  144.107 1223.576 -109903.473    288.139
       czernik_29 10.869   0.159  8.537    0.327  9.719   0.24  0.12   0.012 0.092     0.012 -42576.326   1210.519  0.19  0.005 0.253  0.007 0.097  0.003 2264.137  55.026   12.645  1069.22 -107731.387    374.337
       czernik_30 12.903   0.122  9.783    0.275 11.379  0.164 0.137   0.013 0.447     0.017 -34973.084    681.782 0.227  0.004 0.302  0.005 0.139  0.004 2583.538  39.483   40.591  1228.09 -109315.651    471.379
       czernik_31 10.149   0.162  7.449    0.362  9.124  0.288 0.153   0.016 0.086     0.019 -45720.347    1574.69 0.176  0.007 0.236  0.008  0.09  0.004 2104.669  68.676  -20.404  1010.76 -106298.573    404.687
       czernik_32  9.923   0.104  8.127     0.28  9.038  0.187   0.1   0.012 0.218     0.031 -46199.233   1038.348 0.175  0.004 0.233  0.005 0.094  0.004 2128.249  43.245    114.2  966.907 -107437.417    211.096
           dbsb_3 10.797   0.181 10.734    0.172 12.288  0.827 0.002   0.002 0.217     0.016 -31384.319   3060.716 0.248  0.018 0.329  0.025 0.143  0.014 2776.426  127.38   62.469 1292.552 -111208.211     672.55
          dbsb_43  9.112   0.156  8.468    0.096  8.918   0.21 0.037   0.003   0.2     0.018 -46874.437   1180.674 0.172  0.005  0.23  0.006 0.092  0.004 2110.999  41.345   52.057  986.752 -107630.771     26.853
             dc_5  8.229   0.177  8.161    0.172  8.311  0.359 0.004     0.0 0.013     0.006 -50482.634   2029.286 0.159  0.008 0.213   0.01 0.078  0.005 1987.722  70.761   24.639  939.701 -107696.504     89.608
       eso_092_05 14.984   0.581 10.732      0.6  12.92  0.541 0.167   0.019 1.765     0.099 -29078.532   1904.018 0.262  0.012 0.352  0.016 0.241  0.016 2817.637 113.617   99.016 1400.488 -110141.971   1409.186
       eso_130_06  8.128   0.872  7.763    0.639  7.945  0.659 0.061   0.046 0.078     0.013 -52838.168   4234.307  0.15  0.015 0.202  0.018 0.075  0.008 1914.325 139.579   24.948  905.382 -107871.584    325.614
