# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
          ic_2395  17.66   1.72  -235.9     1.71   1.38   0.65  -11.977    0.664    8
          ic_2488  -1.28   2.46 -250.58     2.46  -0.01   0.78    8.932    0.779    6
          ic_2581 -12.77   0.12 -254.63     0.13  -1.02   0.88    8.472    0.905    1
          ic_2714 -13.92   0.14 -249.52     0.29   6.67    1.0    2.229    0.985   16
          ic_4651 -30.51   0.08 -241.28     0.72    8.4   0.74   16.052    0.308   63
       juchert_10  -70.2   4.95 -247.18     6.24 -13.08   8.39  -73.837    6.739    2
       juchert_13  -7.02   0.61 -225.97     0.61 -10.83   1.07   14.408     1.05    5
       juchert_18  55.72   6.54 -232.48     3.11   5.38   2.73    3.455    6.075    0
     kharchenko_1  41.41   0.33 -223.44     1.02   4.02   0.99   21.999    0.341    2
          king_23  54.01   0.43 -212.38     1.11  -0.91    1.2   -13.76    0.652    4
       koposov_63  -7.03  10.35 -239.95     1.85  11.78   1.55  -29.002   10.419    0
          l_1641s  -50.3   0.19 -274.63      1.2  23.47   1.06  -63.023    0.874    5
       loden_1194  -25.5   5.49 -232.29     4.81  -9.47   1.74   17.778     3.08    3
         loden_46  26.76   0.04 -215.54     0.05  -6.78   0.92   29.923    0.804    0
           lp_145  24.31   0.29 -180.54     1.34 -11.77   1.39   -35.69    0.633    2
          lp_1540  41.05  13.48 -191.63    13.43   7.48    0.8  -23.765    1.443   15
          lp_1624  31.05   2.69  -254.5      1.1 -13.28   1.21   -42.17     2.63    6
           lp_198   67.9   0.32 -220.21     0.75  -1.31   0.92   16.207    0.775    7
          lp_1994  67.72   0.28 -172.91     0.37   0.96    0.7   -69.38    0.712    1
          lp_2059  -8.38   0.67 -250.74     0.66  -0.48   0.54   -5.532    0.546    9
          lp_2094 -12.44   1.11  -249.1     1.11    9.7    0.8  -28.677    0.775    4
          lp_2100 -14.65    2.1 -240.95     1.61   0.11   0.43   -8.248    1.493    0
          lp_2198 -32.79   2.25 -259.63     1.26   4.48   0.79  -60.219    2.025    0
          lp_2219  21.25    2.9  -236.7     2.79   0.26   0.85   -3.961    1.044    0
          lp_2220   2.63   0.18  -249.4     0.24   2.91   0.53    -33.7    0.564    2
          lp_2238   2.63   1.63 -230.66     1.68 -15.98   1.39   -2.289    1.071    3
           lp_403 -11.97   0.65 -251.05     0.62  -2.11    1.0    5.805    1.035    0
           lp_589  -3.19   0.43 -255.72     0.44   0.15   0.51  -42.036    0.491    1
